split,row_type,confidence_method,observation_mode,occlusion_level,view_set,candidate_count,distractor_type,num_samples,top_1_accuracy,top_3_accuracy,confidence_mean,coverage,selective_accuracy,abstained
test,condition,multi_view_consistency,oracle_crop,heavy,single_view,3,native,2,0.5,1.0,1.0,1.0,0.5,0
test,condition,multi_view_consistency,oracle_crop,heavy,single_view,5,different,2,0.5,1.0,1.0,1.0,0.5,0
test,condition,multi_view_consistency,oracle_crop,heavy,single_view,5,similar,2,0.5,1.0,1.0,1.0,0.5,0
test,condition,multi_view_consistency,oracle_crop,heavy,single_view,8,different,2,0.0,0.0,1.0,1.0,0.0,0
test,condition,multi_view_consistency,oracle_crop,heavy,single_view,8,similar_fallback,2,0.0,0.0,1.0,1.0,0.0,0
test,condition,multi_view_consistency,oracle_crop,heavy,three_view_augmented,3,native,2,0.5,1.0,0.6666666666666666,1.0,0.5,0
test,condition,multi_view_consistency,oracle_crop,heavy,three_view_augmented,5,different,2,0.5,0.5,0.8333333333333333,1.0,0.5,0
test,condition,multi_view_consistency,oracle_crop,heavy,three_view_augmented,5,similar,2,0.5,0.5,0.8333333333333333,1.0,0.5,0
test,condition,multi_view_consistency,oracle_crop,heavy,three_view_augmented,8,different,2,0.0,0.5,0.6666666666666666,1.0,0.0,0
test,condition,multi_view_consistency,oracle_crop,heavy,three_view_augmented,8,similar_fallback,2,0.0,0.5,0.6666666666666666,1.0,0.0,0
test,condition,multi_view_consistency,oracle_crop,heavy,two_view,3,native,2,0.5,1.0,0.5,1.0,0.5,0
test,condition,multi_view_consistency,oracle_crop,heavy,two_view,5,different,2,0.0,0.0,0.75,1.0,0.0,0
test,condition,multi_view_consistency,oracle_crop,heavy,two_view,5,similar,2,0.0,0.0,0.5,1.0,0.0,0
test,condition,multi_view_consistency,oracle_crop,heavy,two_view,8,different,2,0.0,0.5,0.75,1.0,0.0,0
test,condition,multi_view_consistency,oracle_crop,heavy,two_view,8,similar_fallback,2,0.0,0.5,0.75,1.0,0.0,0
test,condition,multi_view_consistency,oracle_crop,light,single_view,3,native,2,1.0,1.0,1.0,1.0,1.0,0
test,condition,multi_view_consistency,oracle_crop,light,single_view,5,different,2,1.0,1.0,1.0,1.0,1.0,0
test,condition,multi_view_consistency,oracle_crop,light,single_view,5,similar,2,0.5,1.0,1.0,1.0,0.5,0
test,condition,multi_view_consistency,oracle_crop,light,single_view,8,different,2,0.5,1.0,1.0,1.0,0.5,0
test,condition,multi_view_consistency,oracle_crop,light,single_view,8,similar_fallback,2,0.5,1.0,1.0,1.0,0.5,0
test,condition,multi_view_consistency,oracle_crop,light,three_view_augmented,3,native,2,1.0,1.0,0.6666666666666666,1.0,1.0,0
test,condition,multi_view_consistency,oracle_crop,light,three_view_augmented,5,different,2,1.0,1.0,0.8333333333333333,1.0,1.0,0
test,condition,multi_view_consistency,oracle_crop,light,three_view_augmented,5,similar,2,1.0,1.0,0.8333333333333333,1.0,1.0,0
test,condition,multi_view_consistency,oracle_crop,light,three_view_augmented,8,different,2,1.0,1.0,0.6666666666666666,1.0,1.0,0
test,condition,multi_view_consistency,oracle_crop,light,three_view_augmented,8,similar_fallback,2,1.0,1.0,0.6666666666666666,1.0,1.0,0
test,condition,multi_view_consistency,oracle_crop,light,two_view,3,native,2,0.5,1.0,0.5,1.0,0.5,0
test,condition,multi_view_consistency,oracle_crop,light,two_view,5,different,2,0.5,1.0,0.75,1.0,0.5,0
test,condition,multi_view_consistency,oracle_crop,light,two_view,5,similar,2,1.0,1.0,0.5,1.0,1.0,0
test,condition,multi_view_consistency,oracle_crop,light,two_view,8,different,2,1.0,1.0,0.5,1.0,1.0,0
test,condition,multi_view_consistency,oracle_crop,light,two_view,8,similar_fallback,2,1.0,1.0,0.5,1.0,1.0,0
test,condition,multi_view_consistency,oracle_crop,moderate,single_view,3,native,2,1.0,1.0,1.0,1.0,1.0,0
test,condition,multi_view_consistency,oracle_crop,moderate,single_view,5,different,2,0.0,1.0,1.0,1.0,0.0,0
test,condition,multi_view_consistency,oracle_crop,moderate,single_view,5,similar,2,0.5,1.0,1.0,1.0,0.5,0
test,condition,multi_view_consistency,oracle_crop,moderate,single_view,8,different,2,0.0,0.0,1.0,1.0,0.0,0
test,condition,multi_view_consistency,oracle_crop,moderate,single_view,8,similar_fallback,2,0.0,0.0,1.0,1.0,0.0,0
test,condition,multi_view_consistency,oracle_crop,moderate,three_view_augmented,3,native,2,1.0,1.0,0.6666666666666666,1.0,1.0,0
test,condition,multi_view_consistency,oracle_crop,moderate,three_view_augmented,5,different,2,0.5,1.0,0.8333333333333333,1.0,0.5,0
test,condition,multi_view_consistency,oracle_crop,moderate,three_view_augmented,5,similar,2,0.5,0.5,0.8333333333333333,1.0,0.5,0
test,condition,multi_view_consistency,oracle_crop,moderate,three_view_augmented,8,different,2,0.0,0.0,0.8333333333333333,1.0,0.0,0
test,condition,multi_view_consistency,oracle_crop,moderate,three_view_augmented,8,similar_fallback,2,0.0,0.0,0.8333333333333333,1.0,0.0,0
test,condition,multi_view_consistency,oracle_crop,moderate,two_view,3,native,2,0.5,1.0,0.5,1.0,0.5,0
test,condition,multi_view_consistency,oracle_crop,moderate,two_view,5,different,2,0.0,0.5,0.5,1.0,0.0,0
test,condition,multi_view_consistency,oracle_crop,moderate,two_view,5,similar,2,0.0,1.0,0.5,1.0,0.0,0
test,condition,multi_view_consistency,oracle_crop,moderate,two_view,8,different,2,0.0,0.5,0.5,1.0,0.0,0
test,condition,multi_view_consistency,oracle_crop,moderate,two_view,8,similar_fallback,2,0.0,0.5,0.5,1.0,0.0,0
